She sat on the bench.	ఆమె బల్ల మీద కూర్చుంది .
There's no reason to be afraid.	భయపడాల్సిన కారణం ఏమీ లేదు.
I suggest you do that.	నువ్వు అది చెయ్యమని నా సలహా
Tom has finally found a job.	టామ్ చివరికి ఉద్యోగం సంపాదించాడు.
I do make mistakes.	నేనూ తప్పులు చేస్తాను
Why do you want to come?	మీరు ఎందుకు రావాలనుకుంటున్నారు?
I don't speak Japanese.	నేను జపనీస్ మాట్లాడను
This is a pretty stupid question.	ఇది చాలా తెలివితక్కువ ప్రశ్న
I'm getting off at the next bus stop.	నేను వచ్చే స్టాపు లో దిగుతాను
He made her a bookshelf.	అతను ఆమెకి పుస్తకాల అర తయారు చేసాడు
I heard the bell ring.	నాకు గంట మోగటం వినపడింది
I've made a mistake, though I didn't intend to.	నేనో పొరపాటు చేసాను, కావాలని కాకపోయినా.
She's not at home now.	తను ఇప్పుడు ఇంటి దగ్గర లేదు
These socks don't stretch when you wash them.	ఈ సాక్స్ ఉతికినప్పుడు సాగవు
I should've been able to do that by myself.	నా అంతట నేనే చేయగలిగి వుండాల్సింది
He is teaching Spanish to the children.	అతను పిల్లలకి స్పానిష్ నేర్పుతున్నాడు
You have to come at once.	నువ్వు ఒక్కసారిగా రావాలి
Let's take that chance.	మనం ఆ అవకాశం తీసుకుందాం
She was pale with fear.	ఆమె భయంతో తెల్లబోయింది
You may go swimming or fishing.	నువ్వు ఈత కొట్టడానికో లేక చేపలు పట్టడానికో వెళ్ళొచ్చు
You have no need to be ashamed.	నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు
She breathed in the cold air.	ఆమె చల్ల గాలి పీల్చింది .
Tell me about your daily life.	నీ రోజువారీ జీవితం గురించి చెప్పు
It actually isn't that simple.	అది అంత సులభం ఏం కాదు
We don't understand French.	మాకు ఫ్రెంచి అర్ధం కాదు
He has two pencils. One is long and the other one is short.	తన దగ్గర రెండు పెన్సిళ్ళు వున్నాయి. ఒకటి పొడుగు ఇంకోటి పొట్టి
We need to hire people we can trust.	మనం నమ్మదగిన వాళ్ళనే పనిలోకి తీసుకోవాలి
The movie's about to start.	చలనచిత్రం మొదలు అవ్వబోతుంది
Do you usually eat breakfast before seven?	నువ్వు మాములుగా ఏడు కు ముందే టిఫిన చెస్తావా?
We did that deliberately.	మేము అది కావాలని చేశాం
You can eat lunch here in this room.	నువ్వు భోజనం ఇక్కడ ఈ గదిలో తినొచ్చు
Are you still afraid something might happen?	ఏమైనా అవుతుందని ఇంకా భయపడుతున్నావా ?
Where was your son?	మీ అబ్బాయి ఎక్కడ వున్నాడు ?
She's not a doctor.	ఆమె వైద్యురాలు కాదు
What's your room number?	నీ గది అంకె ఎంత ?
Tom was very scared.	టామ్ చాలా భయపడ్డాడు.
Are you mad?	కోపమొచ్చిందా ?
What else can I lose?	నేను ఇంకేం కోల్పోతాను ?
He dressed up as a woman.	అతడు స్త్రీలాగా వస్త్రాలను ధరించాడు.
Have you ever had a heart attack?	నీకు ఎప్పుడైనా గుండెపోటు వచ్చిందా
Are you prepared to do this?	ఇది చెయ్యడానికి సిద్దంగా వున్నావా
When will you next visit?	మళ్ళీ ఎప్పుడు వస్తావు?
What's in the box?	పెట్టె లో ఏముంది?
Was it really that bad?	అది నిజంగా అంత చెడ్డదా ?
I ran home.	నేను ఇంటికి పరిగెత్తాను
She refuses to say more about it.	ఆవిడ ఇంకా ఎక్కువ చెప్పడానికి ఒప్పుకోవట్లేదు
I don't want to talk to you anymore.	నేనింక నీతో మాట్లాడదల్చుకోవట్లేదు
We played basketball yesterday.	మేము నిన్న బాస్కెట్ బాల్ ఆడాము
Can you see that?	నువ్వు అది చూసావా ?
When did you quit smoking?	పొగ తాగడం ఎప్పుడు ఆపేశావ్?
I'll let it go this time.	నేను ఈసారికి వదిలేస్తాను
The baby is crying for milk.	పసిపాప పాల కోసం ఏడుస్తుంది
Are you two musicians?	మీరిద్దరూ సంగీతకారులా?
Sitting down all day is bad for you.	రోజంతా కూర్చోవడం నీకు మంచిది కాదు
She scared the cat away.	ఆవిడ పిల్లిని భయపెట్టి తరిమేసింది .
How about going out to eat tonight?	ఈ రాత్రి బయటకి వెళ్లి తిందామా ?
We haven't slept in days.	మేము రోజుల తరబడి నిద్రపోలేదు
I know you're going to say no.	నాకు నువ్వు ఒద్దని చెప్తావని తెలుసు.
He washed the blood off his hands.	అతడు తన చేతులకి అంటిన రక్తాన్ని కడిగేసాడు
I don't accept it.	నేను అంగీకరించను
I'm hungry again.	నాకు మళ్ళా ఆకలి వేస్తుంది
Some of the dogs are alive.	కొన్ని కుక్కలు బ్రతికే ఉన్నాయి
It's not all your fault.	ఇదంతా నీ తప్పు కాదు
Who are we?	మేము ఎవరము ?
Out of sight, out of mind.	చూపుకి వెలుపల​, మనసుకి వెలుపల​
She was on her way to school.	తను స్కూలుకు వెళ్ళే దారిలో వుంది
Tom and I often chat on the bus.	టామ్ మరియు నేను తరచుగా బస్సులో ముచ్చటిస్తుంటాము.
It's very valuable.	అది చాలా విలువైనది
I have to get back home and study for a test.	నేను ఇంటికి వెళ్లి పరీక్ష కోసం చదవాలి
I don't trust that guy.	నేను వాడిని నమ్మను
The station is nearby.	స్టేషన్ దగ్గర్లో వుంది
We need money to do anything.	ఏం చెయ్యాలన్నా మనకి డబ్బులు కావాలి
I don't have time to talk right now.	నాకు ఇప్పుడు మాట్లాడేంత సమయం లేదు
How many mangoes do you want?	మీకు ఎన్ని మామిడిపండ్లు కావాలి?
My head hurts.	నా తల నొప్పిపుడుతుంది
