label,text
Positive,@LimeIce thanks. Same here 
Negative,@websiteowner @xDaisyLanex @Sharan23  I couldnt either hun 
Negative,I miss you and neither of us have left yet 
Negative,"No, I can't. "
Negative,I can tell this is going to be the worst day of my life 
Positive,"Good morning! Prepping for a seminar in Cindy today, how's by you? "
Positive,enjoyed some of the sunny weather. I love living in so cal 
Negative,we're getting chased by snowplows 
Negative,@riottime Dang it. I could just cry.  I loved that show too! Wendy (Brooke Shields) was my fav. And victory! I just can't believed that.
Negative,My ears haven't popped since Friday 
Negative,@Sargent_Layne haha i know  i love both of them now!!!!!!!!11 haha
Positive,"@Baneth Oh, but if she doesn't take him by tomorrow i'm dumping him 'cuz I don't give a fuck and my GA runs out day after tomorrow. "
Positive,@teamnfc work'tha ass safely down down down to la... la... land :::groove::: mt holla @ the daddies for me! u know which ones! i hope 
Positive,@kshadows99 not like you'll see them ever! 
Positive,@thomshouse Thanks Thom.. 
Positive,@KeshLondon hi dear i surely am how r u this early dawn 
Positive,"@ElvaHsiao  HELLO!!! i like your long hair!!!!!!!!!! lol.. dun cut it again!!! haha, anyway, nice performance on hitradio  ???? =?"
Positive,"@freosan Rejoice! I'm not a thief, just highly impressionable. That's social commentary for ya, right there. "
Negative,"still on the Internet, wishing i had less home work "
Negative,@thedailydish Was just griping about this... 
Negative,Vlad moves in slow motion these days. He is a year older than me. Oh god... 
Negative,Home soon and going straight to bed for around 2 hours. Today is going to be hectic. 
Positive,@JHolty 
Negative,There's no TV at camp 
Positive,@Amazing_Grace13 Good luck w/ your day !!  
Positive,@AshliTaylor http://bit.ly/G4GG8  found it 
Negative,Sitting at dr's office... This outta be fun!! 
Positive,@the_callahan thank youuu 
Positive,@stars202 wow! That sounds pretty neat! That would be a big improvement for macro shots and stuff! 
Positive,@ktsummer is the waffle house some east coast thing?I don't get the significance. 
Negative,made careless mistakes in her accounting quiz. 
Negative,You know what sucks? Having a sore throat and being hungry at 4 am 
Positive,facebook-ing. 
Positive,Here's one laid out slightly neater  http://twitpic.com/6bo2l
Positive,@bevhollis it's day like this...after a 4 day hiatus...that i'm determined to cut the corporate cord   one day!  good morning.
Positive,love my new background  photoshopped much tho?.....
Negative,@JBGalMalta77 Yeah :] Ah i dont watch that  i used to watch americas next top model though
Positive,just hanging with a buddy 
Negative,Working again on a beautiful day 
Positive,@jackyan I know right? thankfully it's only API so I can still use non API apps! 
Negative,@collinsworth im sorry. 
Positive,@Pietro_Ranieri I moved my monitors closer and uncovered a huge amount of dust and needed to tidy  Hopefully it'll reduce my eyestrain!
Negative,"@WhatIAte4Lunch goodmorning, I ate to much yesterday "
Negative,"This is the worst night ever. My cat got out, I've been looking for over an hour and no sign. I feel completely helpless   "
Negative,@kellipeanut it does suck that we have to be &quot;adults&quot; all the time...its not any fun at all 
Positive,@NikiL93996 that's great! i hope you enjoy your job too!!! 
Positive,Oh sugar honey ice tea 
Negative,@jefferycjordan yeah I am pretty tired it's just so hard to fall asleep in someone elses bed &amp; not your own ! 
Negative,Is missing ma baby! Ahhh! 
Negative,@JM713 Hot... Its hot outisde. 
Positive,is bein taken in to have my waters broke tomorrow  
Negative,"@Yoshimi_S I can't really get to PM, plus I have no money  Cambridge??"
Negative,"@oneofthosefaces bottle has probably forgot she ever had it! defo tiz phonecharms ftw, not miley ones that break "
Positive,made a @PBworks wiki for a charity this weekend  feeling all &quot;yes we can!&quot;  see how to give some of your time @ http://www.serve.gov/
Positive,Going through a car wash with the mop-like things and giant spinning soft brushes. Life is good 
Positive,Eating watermelon 
Negative,it is hella hot and muggy and it's only the second day of summer  
Negative,@beaulingpin aw that sucks! 
Positive,"&quot;Nothing gay about a gay wedding&quot;  Kï¿½sz, Enbomï¿½k nagyon tudnak. "
Negative,is in playoff's mourning  I'm still in denial about Boston 
Negative,@BadPony am sowweee i made you weave 
Positive,@jimineo i heard it's good daw.  hope it'll also exceed my expectations 
Negative,@campo aww I know! I get sick of it! 
Positive,"@ttwittwitt Hey, could you buy me one too please?  "
Negative,"hey! where'd all my followers go?! thats a depresing thing 2 wake up 2! here, have a hangover and also overnite NO1 LIKES U ANYMORE "
Positive,@DJTLaC &quot;Good Morning&quot; Kiddo. 
Negative,I definitely should have run today but didn't  #blamedrewscancer
Negative,@joel_gardiner if only it where real 
Negative,@anginabitch noo 
Positive,studying and listening to my autographed veronicas cd 
Positive,"@ngw_x heheee i know but it all fascinates me hehe! And im quite the artist lmao, i think it would be really awesome. "
Negative,"Lynda got me some awesome Vans for my birthday, but they're too small. Pregnancy made my feet bigger "
Positive,Terdis alert. That's Murray  http://mypict.me/2TjZ
Negative,I work all week and I'm fine. Saturday I wake up... I'm so sick  WTF
Positive,"@chelzmae okay I get you now! Good, I'm glad  I know what you mean, the rude ones those you dislike...I got ya!"
Negative,@victorianaa  
Negative,awwwwwwww.... lovely mothers day... time to pack 
Positive,@martynpepperell really?!!  That's fricken great to hear!!  I had a fab time   How's you? x
Negative,is missing her niece--julianna. 
Negative,i can't take this any longer i want SPACE!!! i just don't know how to get it... 
Positive,@AliceSinAerie too cute 
Positive,Just trying to figure out what twitter is so that I can enter Destiny's photo giveaway!  YAY - - - please me! 
Positive,"If nothing ever changed, there'd be no butterflies. ~Author Unknown~ I see changes coming "
Positive,On my way to Texas! Woo.....gonna have some fun 
Negative,"is tiiiired, but has to go to the doctor's in less than an hour for her physical. "
Negative,has nothin to wear  FML
Positive,@chase_utley Nice game against the Bo-Sox - finally!  We knew you guys could beat them 
Negative,helping Jace delete his online presense ... does that make sense?  in english- he's saying byebye internet 
Negative,I like my new phone. Other than it being silver.  i got my purse today!
Positive,Let the weekend begin! 
Positive,@fierckid Hey i'm good here   How are you doing mr fierce kid?  Did you end up going to tigerheat on thursday?
Positive,@breatheheavycom http://twitpic.com/6q2ka - Oh wow 
Positive,@GMGDIVA139 AHHHHHHHH!!!!!! I can't even manage to think about it....so excited!!! 
Negative,"Wahhhh, neither of my book drive 5 Brothers redemption codes work. Maybe I'm doing something wrong. "
Negative,I missssss my baby 
Positive,"#feliciadayrumors Felicia Day is so hot I'd jump her... wait, not a rumor -FAIL!- "
Negative,just got home! n im bearly able to charge my phone  i think im guna hit the sack
Positive,getting back into twittering now revision is over....finally summer....11 weeks of chillin tbh! 
Positive,@jsumps is perfect. dur. and i love him and miss him dearly 
Negative,Ready 4 bed...But I still have a party to go to  ...
Negative,decided to stop eating fish so I could become a true vegetarian. No more fishing for me 
Negative,@HauteFuss You don't miss me.  @aimeevee OMG. I wonder what that smells like.
Positive,is on her way to Indian Beach to do some shopping! 
Negative,@DWsRoseC they took another message  in ur words.....BOOOOOOO HISSSS
Positive,My soap making experiment was a success.  can't wait to try it again tomorrow.  Smells so good  http://tinyurl.com/lkhgg8
Negative,Noooo! the perfectionist in me is screamingg aha. I messed up writing my schedule out all nice 
Negative,Late to the first event 
Negative,"heAd 2 beach b4 it rains. Hope the rain passes. Had bad storms last night while out playin. I got trenched! Had white pants on, not good "
Negative,PS3 took a dump! 
Positive,"@mlesser64 OK, exactly what I was thinking! Funny what mentioning &quot;Asia&quot; in a tweet will do to your followers.  "
Positive,@unbitch you are binging sexy back...on a boat. 
Positive,@funbethie THANK YOU!!!  
Positive,@gvwilson acceptable by what set of criteria? 
Positive,@pcornqueen Hope the sun stays strong and that you have a great day ahead. 
Positive,@haydenonline its funny coz there really is one of those  LOL!
Negative,@wilbossman Omg ghey! 
Negative,Without my baby though... 
Negative,@RowdyKittens So bummed I'm going to be missing you two.  
Positive,"Yumm eating my chicken, rice, potatoes and squash "
Positive,@captainjack63 Thanks for following 
Negative,I have a toothache and am tweeting in sick 
Positive,...Packing up and bumping out the Extreme Weather Heroes from Greenfest and off home for a well deserved chardy! 
